Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 371, ReactionType, hit
Block, 1, trialnr, 2, trialtype, 1, cuetype, Mask_A1, RZ, 641, ReactionType, hit
Block, 1, trialnr, 3, trialtype, 3, cuetype, Mask_A2, RZ, 623, ReactionType, hit
Block, 1, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 495, ReactionType, hit
Block, 1, trialnr, 5, trialtype, 1, cuetype, Mask_A5, RZ, 595, ReactionType, incorrect
Block, 1, trialnr, 6, trialtype, 2, cuetype, Mask_B2, RZ, 584, ReactionType, hit
Block, 1, trialnr, 7, trialtype, 1, cuetype, Mask_A5, RZ, 549, ReactionType, incorrect
Block, 1, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 463, ReactionType, hit
Block, 1, trialnr, 9, trialtype, 4, cuetype, Mask_B1, RZ, 707, ReactionType, hit
Block, 1, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 454, ReactionType, hit
Block, 1, trialnr, 11, trialtype, 2, cuetype, Mask_B2_1, RZ, 625, ReactionType, hit
Block, 1, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 487, ReactionType, hit
Block, 1, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 0, ReactionType, miss
Block, 1, trialnr, 14, trialtype, 3, cuetype, Mask_A5, RZ, 442, ReactionType, hit
Block, 1, trialnr, 15, trialtype, 1, cuetype, Mask_A5, RZ, 418, ReactionType, incorrect
Block, 1, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 311, ReactionType, hit
Block, 1, trialnr, 17, trialtype, 4, cuetype, Mask_B3_1, RZ, 546, ReactionType, hit
Block, 1, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 334, ReactionType, hit
Block, 1, trialnr, 19, trialtype, 1, cuetype, Mask_A1, RZ, 502, ReactionType, hit
Block, 1, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 423, ReactionType, hit
Block, 1, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 556, ReactionType, hit
Block, 1, trialnr, 22, trialtype, 2, cuetype, Mask_B4, RZ, 415, ReactionType, hit
Block, 1, trialnr, 23, trialtype, 1, cuetype, Mask_A3, RZ, 389, ReactionType, hit
Block, 1, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 497, ReactionType, hit
Block, 1, trialnr, 25, trialtype, 1, cuetype, Mask_A1, RZ, 477, ReactionType, hit
Block, 1, trialnr, 26, trialtype, 4, cuetype, Mask_B1_1, RZ, 417, ReactionType, hit
Block, 1, trialnr, 27, trialtype, 1, cuetype, Mask_A3, RZ, 0, ReactionType, miss
Block, 1, trialnr, 28, trialtype, 1, cuetype, Mask_A5, RZ, 481, ReactionType, hit
Block, 1, trialnr, 29, trialtype, 2, cuetype, Mask_B4_1, RZ, 407, ReactionType, hit
Block, 1, trialnr, 30, trialtype, 1, cuetype, Mask_A1, RZ, 365, ReactionType, hit
Block, 1, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 583, ReactionType, hit
Block, 1, trialnr, 32, trialtype, 3, cuetype, Mask_A3, RZ, 551, ReactionType, hit
Block, 1, trialnr, 33, trialtype, 1, cuetype, Mask_A1, RZ, 492, ReactionType, hit
Block, 1, trialnr, 34, trialtype, 1, cuetype, Mask_A1, RZ, 536, ReactionType, hit
Block, 1, trialnr, 35, trialtype, 1, cuetype, Mask_A1, RZ, 451, ReactionType, hit
Block, 1, trialnr, 36, trialtype, 4, cuetype, Mask_B4, RZ, 305, ReactionType, hit
Block, 1, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 444, ReactionType, hit
Block, 1, trialnr, 38, trialtype, 1, cuetype, Mask_A5, RZ, 331, ReactionType, hit
Block, 1, trialnr, 39, trialtype, 3, cuetype, Mask_A1, RZ, 609, ReactionType, hit
Block, 1, trialnr, 40, trialtype, 1, cuetype, Mask_A1, RZ, 432, ReactionType, hit
Block, 1, trialnr, 41, trialtype, 1, cuetype, Mask_A4, RZ, 407, ReactionType, hit
Block, 1, trialnr, 42, trialtype, 2, cuetype, Mask_B2_1, RZ, 423, ReactionType, hit
Block, 1, trialnr, 43, trialtype, 1, cuetype, Mask_A1, RZ, 362, ReactionType, hit
Block, 1, trialnr, 44, trialtype, 1, cuetype, Mask_A5, RZ, 384, ReactionType, hit
Block, 1, trialnr, 45, trialtype, 4, cuetype, Mask_B4_1, RZ, 372, ReactionType, hit
Block, 1, trialnr, 46, trialtype, 1, cuetype, Mask_A1, RZ, 448, ReactionType, hit
Block, 1, trialnr, 47, trialtype, 1, cuetype, Mask_A4, RZ, 371, ReactionType, hit
Block, 1, trialnr, 48, trialtype, 1, cuetype, Mask_A5, RZ, 413, ReactionType, hit
Block, 1, trialnr, 49, trialtype, 3, cuetype, Mask_A5, RZ, 670, ReactionType, hit
Block, 1, trialnr, 50, trialtype, 1, cuetype, Mask_A5, RZ, 369, ReactionType, hit
Block, 1, trialnr, 51, trialtype, 4, cuetype, Mask_B4, RZ, 402, ReactionType, hit
Block, 1, trialnr, 52, trialtype, 2, cuetype, Mask_B1, RZ, 467, ReactionType, hit
Block, 2, trialnr, 1, trialtype, 1, cuetype, Mask_A5, RZ, 372, ReactionType, hit
Block, 2, trialnr, 2, trialtype, 2, cuetype, Mask_B3, RZ, 375, ReactionType, hit
Block, 2, trialnr, 3, trialtype, 1, cuetype, Mask_A1, RZ, 363, ReactionType, hit
Block, 2, trialnr, 4, trialtype, 4, cuetype, Mask_B4, RZ, 298, ReactionType, hit
Block, 2, trialnr, 5, trialtype, 1, cuetype, Mask_A4, RZ, 369, ReactionType, hit
Block, 2, trialnr, 6, trialtype, 2, cuetype, Mask_B1_1, RZ, 259, ReactionType, hit
Block, 2, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 323, ReactionType, hit
Block, 2, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 358, ReactionType, hit
Block, 2, trialnr, 9, trialtype, 4, cuetype, Mask_B3, RZ, 705, ReactionType, hit
Block, 2, trialnr, 10, trialtype, 1, cuetype, Mask_A5, RZ, 328, ReactionType, hit
Block, 2, trialnr, 11, trialtype, 2, cuetype, Mask_B3, RZ, 316, ReactionType, hit
Block, 2, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 334, ReactionType, hit
Block, 2, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 343, ReactionType, hit
Block, 2, trialnr, 14, trialtype, 3, cuetype, Mask_A1, RZ, 540, ReactionType, hit
Block, 2, trialnr, 15, trialtype, 1, cuetype, Mask_A3, RZ, 502, ReactionType, hit
Block, 2, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 363, ReactionType, hit
Block, 2, trialnr, 17, trialtype, 4, cuetype, Mask_B3_1, RZ, 270, ReactionType, hit
Block, 2, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 316, ReactionType, hit
Block, 2, trialnr, 19, trialtype, 1, cuetype, Mask_A1, RZ, 331, ReactionType, hit
Block, 2, trialnr, 20, trialtype, 1, cuetype, Mask_A3, RZ, 298, ReactionType, hit
Block, 2, trialnr, 21, trialtype, 3, cuetype, Mask_A1, RZ, 480, ReactionType, hit
Block, 2, trialnr, 22, trialtype, 2, cuetype, Mask_B4, RZ, 345, ReactionType, hit
Block, 2, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 323, ReactionType, hit
Block, 2, trialnr, 24, trialtype, 1, cuetype, Mask_A5, RZ, 367, ReactionType, hit
Block, 2, trialnr, 25, trialtype, 1, cuetype, Mask_A2, RZ, 323, ReactionType, hit
Block, 2, trialnr, 26, trialtype, 4, cuetype, Mask_B1_1, RZ, 346, ReactionType, hit
Block, 2, trialnr, 27, trialtype, 1, cuetype, Mask_A2, RZ, 298, ReactionType, hit
Block, 2, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 382, ReactionType, hit
Block, 2, trialnr, 29, trialtype, 2, cuetype, Mask_B3, RZ, 341, ReactionType, hit
Block, 2, trialnr, 30, trialtype, 1, cuetype, Mask_A1, RZ, 350, ReactionType, hit
Block, 2, trialnr, 31, trialtype, 1, cuetype, Mask_A5, RZ, 378, ReactionType, hit
Block, 2, trialnr, 32, trialtype, 3, cuetype, Mask_A1, RZ, 478, ReactionType, hit
Block, 2, trialnr, 33, trialtype, 1, cuetype, Mask_A3, RZ, 340, ReactionType, hit
Block, 2, trialnr, 34, trialtype, 1, cuetype, Mask_A5, RZ, 441, ReactionType, hit
Block, 2, trialnr, 35, trialtype, 1, cuetype, Mask_A3, RZ, 387, ReactionType, hit
Block, 2, trialnr, 36, trialtype, 3, cuetype, Mask_A1, RZ, 416, ReactionType, hit
Block, 2, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 390, ReactionType, hit
Block, 2, trialnr, 38, trialtype, 1, cuetype, Mask_A1, RZ, 414, ReactionType, hit
Block, 2, trialnr, 39, trialtype, 2, cuetype, Mask_B3, RZ, 346, ReactionType, hit
Block, 2, trialnr, 40, trialtype, 1, cuetype, Mask_A3, RZ, 331, ReactionType, incorrect
Block, 2, trialnr, 41, trialtype, 1, cuetype, Mask_A1, RZ, 310, ReactionType, hit
Block, 2, trialnr, 42, trialtype, 1, cuetype, Mask_A1, RZ, 396, ReactionType, hit
Block, 2, trialnr, 43, trialtype, 3, cuetype, Mask_A1, RZ, 472, ReactionType, hit
Block, 2, trialnr, 44, trialtype, 1, cuetype, Mask_A4, RZ, 373, ReactionType, hit
Block, 2, trialnr, 45, trialtype, 4, cuetype, Mask_B1_1, RZ, 335, ReactionType, hit
Block, 2, trialnr, 46, trialtype, 1, cuetype, Mask_A1, RZ, 438, ReactionType, hit
Block, 2, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 631, ReactionType, hit
Block, 2, trialnr, 48, trialtype, 3, cuetype, Mask_A1, RZ, 563, ReactionType, hit
Block, 2, trialnr, 49, trialtype, 1, cuetype, Mask_A3, RZ, 361, ReactionType, hit
Block, 2, trialnr, 50, trialtype, 4, cuetype, Mask_B1, RZ, 323, ReactionType, hit
Block, 2, trialnr, 51, trialtype, 1, cuetype, Mask_A3, RZ, 344, ReactionType, hit
Block, 2, trialnr, 52, trialtype, 1, cuetype, Mask_A1, RZ, 357, ReactionType, hit
Block, 3, trialnr, 1, trialtype, 4, cuetype, Mask_B1, RZ, 475, ReactionType, hit
Block, 3, trialnr, 2, trialtype, 1, cuetype, Mask_A1, RZ, 286, ReactionType, hit
Block, 3, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 449, ReactionType, hit
Block, 3, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 338, ReactionType, hit
Block, 3, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 398, ReactionType, hit
Block, 3, trialnr, 6, trialtype, 2, cuetype, Mask_B3, RZ, 419, ReactionType, hit
Block, 3, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 309, ReactionType, hit
Block, 3, trialnr, 8, trialtype, 1, cuetype, Mask_A3, RZ, 305, ReactionType, hit
Block, 3, trialnr, 9, trialtype, 1, cuetype, Mask_A1, RZ, 448, ReactionType, hit
Block, 3, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 587, ReactionType, hit
Block, 3, trialnr, 11, trialtype, 2, cuetype, Mask_B3_1, RZ, 369, ReactionType, hit
Block, 3, trialnr, 12, trialtype, 1, cuetype, Mask_A5, RZ, 368, ReactionType, hit
Block, 3, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 436, ReactionType, hit
Block, 3, trialnr, 14, trialtype, 3, cuetype, Mask_A1, RZ, 478, ReactionType, hit
Block, 3, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 311, ReactionType, hit
Block, 3, trialnr, 16, trialtype, 1, cuetype, Mask_A1, RZ, 509, ReactionType, hit
Block, 3, trialnr, 17, trialtype, 4, cuetype, Mask_B4, RZ, 549, ReactionType, hit
Block, 3, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 466, ReactionType, hit
Block, 3, trialnr, 19, trialtype, 1, cuetype, Mask_A3, RZ, 462, ReactionType, hit
Block, 3, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 371, ReactionType, hit
Block, 3, trialnr, 21, trialtype, 3, cuetype, Mask_A2, RZ, 564, ReactionType, hit
Block, 3, trialnr, 22, trialtype, 2, cuetype, Mask_B4, RZ, 670, ReactionType, hit
Block, 3, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 652, ReactionType, hit
Block, 3, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 429, ReactionType, hit
Block, 3, trialnr, 25, trialtype, 1, cuetype, Mask_A2, RZ, 561, ReactionType, hit
Block, 3, trialnr, 26, trialtype, 4, cuetype, Mask_B4, RZ, 603, ReactionType, hit
Block, 3, trialnr, 27, trialtype, 1, cuetype, Mask_A1, RZ, 522, ReactionType, hit
Block, 3, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 510, ReactionType, hit
Block, 3, trialnr, 29, trialtype, 2, cuetype, Mask_B4_1, RZ, 479, ReactionType, hit
Block, 3, trialnr, 30, trialtype, 1, cuetype, Mask_A1, RZ, 441, ReactionType, hit
Block, 3, trialnr, 31, trialtype, 1, cuetype, Mask_A3, RZ, 646, ReactionType, hit
Block, 3, trialnr, 32, trialtype, 3, cuetype, Mask_A1, RZ, 531, ReactionType, hit
Block, 3, trialnr, 33, trialtype, 1, cuetype, Mask_A5, RZ, 433, ReactionType, hit
Block, 3, trialnr, 34, trialtype, 2, cuetype, Mask_B3, RZ, 523, ReactionType, hit
Block, 3, trialnr, 35, trialtype, 1, cuetype, Mask_A2, RZ, 394, ReactionType, hit
Block, 3, trialnr, 36, trialtype, 4, cuetype, Mask_B4, RZ, 515, ReactionType, hit
Block, 3, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 467, ReactionType, hit
Block, 3, trialnr, 38, trialtype, 1, cuetype, Mask_A1, RZ, 490, ReactionType, hit
Block, 3, trialnr, 39, trialtype, 3, cuetype, Mask_A3, RZ, 485, ReactionType, hit
Block, 3, trialnr, 40, trialtype, 1, cuetype, Mask_A2, RZ, 566, ReactionType, hit
Block, 3, trialnr, 41, trialtype, 1, cuetype, Mask_A2, RZ, 416, ReactionType, hit
Block, 3, trialnr, 42, trialtype, 1, cuetype, Mask_A4, RZ, 398, ReactionType, hit
Block, 3, trialnr, 43, trialtype, 4, cuetype, Mask_B2, RZ, 399, ReactionType, hit
Block, 3, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 348, ReactionType, hit
Block, 3, trialnr, 45, trialtype, 1, cuetype, Mask_A5, RZ, 450, ReactionType, hit
Block, 3, trialnr, 46, trialtype, 2, cuetype, Mask_B2, RZ, 413, ReactionType, hit
Block, 3, trialnr, 47, trialtype, 1, cuetype, Mask_A3, RZ, 374, ReactionType, hit
Block, 3, trialnr, 48, trialtype, 3, cuetype, Mask_A1, RZ, 509, ReactionType, hit
