Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 396, ReactionType, hit
Block, 1, trialnr, 2, trialtype, 1, cuetype, Mask_A3, RZ, 306, ReactionType, incorrect
Block, 1, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 521, ReactionType, hit
Block, 1, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 350, ReactionType, hit
Block, 1, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 520, ReactionType, hit
Block, 1, trialnr, 6, trialtype, 2, cuetype, Mask_B4, RZ, 353, ReactionType, hit
Block, 1, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 300, ReactionType, hit
Block, 1, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 424, ReactionType, hit
Block, 1, trialnr, 9, trialtype, 4, cuetype, Mask_B2_1, RZ, 294, ReactionType, hit
Block, 1, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 471, ReactionType, hit
Block, 1, trialnr, 11, trialtype, 2, cuetype, Mask_B4_1, RZ, 327, ReactionType, hit
Block, 1, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 465, ReactionType, hit
Block, 1, trialnr, 13, trialtype, 1, cuetype, Mask_A1, RZ, 406, ReactionType, hit
Block, 1, trialnr, 14, trialtype, 3, cuetype, Mask_A4, RZ, 459, ReactionType, incorrect
Block, 1, trialnr, 15, trialtype, 1, cuetype, Mask_A1, RZ, 391, ReactionType, hit
Block, 1, trialnr, 16, trialtype, 1, cuetype, Mask_A5, RZ, 483, ReactionType, hit
Block, 1, trialnr, 17, trialtype, 4, cuetype, Mask_B2, RZ, 533, ReactionType, hit
Block, 1, trialnr, 18, trialtype, 1, cuetype, Mask_A3, RZ, 424, ReactionType, hit
Block, 1, trialnr, 19, trialtype, 1, cuetype, Mask_A1, RZ, 478, ReactionType, hit
Block, 1, trialnr, 20, trialtype, 1, cuetype, Mask_A2, RZ, 333, ReactionType, hit
Block, 1, trialnr, 21, trialtype, 3, cuetype, Mask_A3, RZ, 506, ReactionType, incorrect
Block, 1, trialnr, 22, trialtype, 2, cuetype, Mask_B1, RZ, 418, ReactionType, hit
Block, 1, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 346, ReactionType, hit
Block, 1, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 510, ReactionType, hit
Block, 1, trialnr, 25, trialtype, 1, cuetype, Mask_A5, RZ, 451, ReactionType, hit
Block, 1, trialnr, 26, trialtype, 4, cuetype, Mask_B1, RZ, 413, ReactionType, hit
Block, 1, trialnr, 27, trialtype, 1, cuetype, Mask_A3, RZ, 325, ReactionType, hit
Block, 1, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 499, ReactionType, hit
Block, 1, trialnr, 29, trialtype, 2, cuetype, Mask_B1, RZ, 632, ReactionType, hit
Block, 1, trialnr, 30, trialtype, 1, cuetype, Mask_A4, RZ, 648, ReactionType, hit
Block, 1, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 429, ReactionType, hit
Block, 1, trialnr, 32, trialtype, 3, cuetype, Mask_A3, RZ, 0, ReactionType, miss
Block, 1, trialnr, 33, trialtype, 1, cuetype, Mask_A2, RZ, 310, ReactionType, hit
Block, 1, trialnr, 34, trialtype, 1, cuetype, Mask_A3, RZ, 434, ReactionType, hit
Block, 1, trialnr, 35, trialtype, 1, cuetype, Mask_A2, RZ, 467, ReactionType, hit
Block, 1, trialnr, 36, trialtype, 4, cuetype, Mask_B1, RZ, 589, ReactionType, hit
Block, 1, trialnr, 37, trialtype, 1, cuetype, Mask_A1, RZ, 342, ReactionType, hit
Block, 1, trialnr, 38, trialtype, 1, cuetype, Mask_A1, RZ, 513, ReactionType, incorrect
Block, 1, trialnr, 39, trialtype, 3, cuetype, Mask_A1, RZ, 697, ReactionType, hit
Block, 1, trialnr, 40, trialtype, 1, cuetype, Mask_A5, RZ, 542, ReactionType, hit
Block, 1, trialnr, 41, trialtype, 1, cuetype, Mask_A4, RZ, 409, ReactionType, hit
Block, 1, trialnr, 42, trialtype, 2, cuetype, Mask_B2, RZ, 559, ReactionType, hit
Block, 1, trialnr, 43, trialtype, 1, cuetype, Mask_A1, RZ, 323, ReactionType, hit
Block, 1, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 527, ReactionType, hit
Block, 1, trialnr, 45, trialtype, 4, cuetype, Mask_B1, RZ, 470, ReactionType, hit
Block, 1, trialnr, 46, trialtype, 1, cuetype, Mask_A1, RZ, 388, ReactionType, hit
Block, 1, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 526, ReactionType, hit
Block, 1, trialnr, 48, trialtype, 1, cuetype, Mask_A1, RZ, 299, ReactionType, hit
Block, 1, trialnr, 49, trialtype, 3, cuetype, Mask_A1, RZ, 629, ReactionType, hit
Block, 1, trialnr, 50, trialtype, 1, cuetype, Mask_A1, RZ, 615, ReactionType, hit
Block, 1, trialnr, 51, trialtype, 4, cuetype, Mask_B4, RZ, 223, ReactionType, hit
Block, 1, trialnr, 52, trialtype, 2, cuetype, Mask_B2_1, RZ, 370, ReactionType, hit
Block, 2, trialnr, 1, trialtype, 1, cuetype, Mask_A5, RZ, 272, ReactionType, hit
Block, 2, trialnr, 2, trialtype, 2, cuetype, Mask_B2, RZ, 270, ReactionType, hit
Block, 2, trialnr, 3, trialtype, 1, cuetype, Mask_A1, RZ, 347, ReactionType, hit
Block, 2, trialnr, 4, trialtype, 4, cuetype, Mask_B3_1, RZ, 407, ReactionType, hit
Block, 2, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 534, ReactionType, hit
Block, 2, trialnr, 6, trialtype, 2, cuetype, Mask_B1, RZ, 532, ReactionType, hit
Block, 2, trialnr, 7, trialtype, 1, cuetype, Mask_A1, RZ, 310, ReactionType, hit
Block, 2, trialnr, 8, trialtype, 1, cuetype, Mask_A3, RZ, 549, ReactionType, hit
Block, 2, trialnr, 9, trialtype, 4, cuetype, Mask_B1, RZ, 286, ReactionType, hit
Block, 2, trialnr, 10, trialtype, 1, cuetype, Mask_A1, RZ, 0, ReactionType, incorrect
