Block, 1, trialnr, 1, trialtype, 1, cuetype, Mask_A1, RZ, 573, ReactionType, hit
Block, 1, trialnr, 2, trialtype, 1, cuetype, Mask_A1, RZ, 352, ReactionType, hit
Block, 1, trialnr, 3, trialtype, 3, cuetype, Mask_A1, RZ, 639, ReactionType, hit
Block, 1, trialnr, 4, trialtype, 1, cuetype, Mask_A1, RZ, 367, ReactionType, hit
Block, 1, trialnr, 5, trialtype, 1, cuetype, Mask_A1, RZ, 385, ReactionType, hit
Block, 1, trialnr, 6, trialtype, 2, cuetype, Mask_B3, RZ, 566, ReactionType, hit
Block, 1, trialnr, 7, trialtype, 1, cuetype, Mask_A5, RZ, 491, ReactionType, hit
Block, 1, trialnr, 8, trialtype, 1, cuetype, Mask_A1, RZ, 560, ReactionType, hit
Block, 1, trialnr, 9, trialtype, 4, cuetype, Mask_B1, RZ, 499, ReactionType, hit
Block, 1, trialnr, 10, trialtype, 1, cuetype, Mask_A3, RZ, 540, ReactionType, hit
Block, 1, trialnr, 11, trialtype, 2, cuetype, Mask_B1, RZ, 411, ReactionType, hit
Block, 1, trialnr, 12, trialtype, 1, cuetype, Mask_A1, RZ, 455, ReactionType, hit
Block, 1, trialnr, 13, trialtype, 1, cuetype, Mask_A4, RZ, 583, ReactionType, hit
Block, 1, trialnr, 14, trialtype, 3, cuetype, Mask_A1, RZ, 571, ReactionType, hit
Block, 1, trialnr, 15, trialtype, 1, cuetype, Mask_A3, RZ, 470, ReactionType, hit
Block, 1, trialnr, 16, trialtype, 1, cuetype, Mask_A2, RZ, 377, ReactionType, hit
Block, 1, trialnr, 17, trialtype, 4, cuetype, Mask_B1, RZ, 464, ReactionType, hit
Block, 1, trialnr, 18, trialtype, 1, cuetype, Mask_A1, RZ, 524, ReactionType, hit
Block, 1, trialnr, 19, trialtype, 1, cuetype, Mask_A4, RZ, 525, ReactionType, hit
Block, 1, trialnr, 20, trialtype, 1, cuetype, Mask_A1, RZ, 483, ReactionType, hit
Block, 1, trialnr, 21, trialtype, 3, cuetype, Mask_A3, RZ, 641, ReactionType, hit
Block, 1, trialnr, 22, trialtype, 2, cuetype, Mask_B4, RZ, 606, ReactionType, hit
Block, 1, trialnr, 23, trialtype, 1, cuetype, Mask_A1, RZ, 370, ReactionType, hit
Block, 1, trialnr, 24, trialtype, 1, cuetype, Mask_A1, RZ, 597, ReactionType, hit
Block, 1, trialnr, 25, trialtype, 1, cuetype, Mask_A1, RZ, 615, ReactionType, hit
Block, 1, trialnr, 26, trialtype, 4, cuetype, Mask_B3_1, RZ, 617, ReactionType, hit
Block, 1, trialnr, 27, trialtype, 1, cuetype, Mask_A4, RZ, 373, ReactionType, hit
Block, 1, trialnr, 28, trialtype, 1, cuetype, Mask_A1, RZ, 539, ReactionType, hit
Block, 1, trialnr, 29, trialtype, 2, cuetype, Mask_B3, RZ, 360, ReactionType, hit
Block, 1, trialnr, 30, trialtype, 1, cuetype, Mask_A4, RZ, 338, ReactionType, hit
Block, 1, trialnr, 31, trialtype, 1, cuetype, Mask_A1, RZ, 527, ReactionType, hit
Block, 1, trialnr, 32, trialtype, 3, cuetype, Mask_A3, RZ, 450, ReactionType, hit
Block, 1, trialnr, 33, trialtype, 1, cuetype, Mask_A4, RZ, 466, ReactionType, hit
Block, 1, trialnr, 34, trialtype, 1, cuetype, Mask_A1, RZ, 499, ReactionType, hit
Block, 1, trialnr, 35, trialtype, 1, cuetype, Mask_A1, RZ, 489, ReactionType, hit
Block, 1, trialnr, 36, trialtype, 4, cuetype, Mask_B2, RZ, 342, ReactionType, hit
Block, 1, trialnr, 37, trialtype, 1, cuetype, Mask_A3, RZ, 306, ReactionType, hit
Block, 1, trialnr, 38, trialtype, 1, cuetype, Mask_A1, RZ, 483, ReactionType, hit
Block, 1, trialnr, 39, trialtype, 3, cuetype, Mask_A1, RZ, 635, ReactionType, hit
Block, 1, trialnr, 40, trialtype, 1, cuetype, Mask_A4, RZ, 572, ReactionType, hit
Block, 1, trialnr, 41, trialtype, 1, cuetype, Mask_A1, RZ, 286, ReactionType, hit
Block, 1, trialnr, 42, trialtype, 2, cuetype, Mask_B2_1, RZ, 335, ReactionType, hit
Block, 1, trialnr, 43, trialtype, 1, cuetype, Mask_A5, RZ, 441, ReactionType, hit
Block, 1, trialnr, 44, trialtype, 1, cuetype, Mask_A1, RZ, 359, ReactionType, hit
Block, 1, trialnr, 45, trialtype, 4, cuetype, Mask_B3, RZ, 355, ReactionType, hit
Block, 1, trialnr, 46, trialtype, 1, cuetype, Mask_A4, RZ, 656, ReactionType, hit
Block, 1, trialnr, 47, trialtype, 1, cuetype, Mask_A1, RZ, 342, ReactionType, hit
Block, 1, trialnr, 48, trialtype, 1, cuetype, Mask_A3, RZ, 300, ReactionType, hit
Block, 1, trialnr, 49, trialtype, 3, cuetype, Mask_A4, RZ, 561, ReactionType, hit
Block, 1, trialnr, 50, trialtype, 1, cuetype, Mask_A1, RZ, 341, ReactionType, hit
Block, 1, trialnr, 51, trialtype, 4, cuetype, Mask_B4, RZ, 386, ReactionType, hit
Block, 1, trialnr, 52, trialtype, 2, cuetype, Mask_B1, RZ, 395, ReactionType, hit
Block, 2, trialnr, 1, trialtype, 1, cuetype, Mask_A3, RZ, 341, ReactionType, hit
Block, 2, trialnr, 2, trialtype, 2, cuetype, Mask_B4_1, RZ, 339, ReactionType, hit
Block, 2, trialnr, 3, trialtype, 1, cuetype, Mask_A2, RZ, 502, ReactionType, hit
Block, 2, trialnr, 4, trialtype, 4, cuetype, Mask_B3_1, RZ, 459, ReactionType, hit
Block, 2, trialnr, 5, trialtype, 1, cuetype, Mask_A2, RZ, 562, ReactionType, hit
Block, 2, trialnr, 6, trialtype, 2, cuetype, Mask_B2, RZ, 361, ReactionType, hit
Block, 2, trialnr, 7, trialtype, 1, cuetype, Mask_A4, RZ, 491, ReactionType, hit
Block, 2, trialnr, 8, trialtype, 1, cuetype, Mask_A5, RZ, 313, ReactionType, hit
